show,season,unique_id,full_name,episode,action
Bachelor,1,01_RACHEL_X,Rachel,1,E
Bachelor,1,01_RHONDA_X,Rhonda,3,E
Bachelor,1,01_RHONDA_X,Rhonda,2,D5
Bachelor,1,01_RHONDA_X,Rhonda,3,D4
Bachelor,1,01_SHANNON_O,Shannon Oliver,5,E
Bachelor,1,01_SHANNON_O,Shannon Oliver,2,D5
Bachelor,1,01_SHANNON_O,Shannon Oliver,3,D1
Bachelor,1,01_SHANNON_O,Shannon Oliver,4,D1
Bachelor,1,01_SHANNON_O,Shannon Oliver,5,D1
Bachelor,1,01_TINA_X,Tina,2,E
Bachelor,1,01_TINA_X,Tina,2,D5
Bachelor,1,01_TRISTA_R,Trista Rehn,6,E
Bachelor,1,01_TRISTA_R,Trista Rehn,2,D5
Bachelor,1,01_TRISTA_R,Trista Rehn,3,D1
Bachelor,1,01_TRISTA_R,Trista Rehn,4,D1
Bachelor,1,01_TRISTA_R,Trista Rehn,5,D1
Bachelor,1,01_TRISTA_R,Trista Rehn,6,D1
Bachelor,1,01_WENDI_X,Wendi,1,E
Bachelorette,1,01_BILLY_X,Billy,1,E
Bachelorette,1,01_BOB_G,Bob Guiney,3,E
Bachelorette,1,01_BOB_G,Bob Guiney,2,D14
Bachelorette,1,01_BOB_G,Bob Guiney,3,D5
Bachelorette,1,01_BRIAN_C,Brian C.,2,E
Bachelorette,1,01_BRIAN_C,Brian C.,2,D14
Bachelorette,1,01_BRIAN_H,Brian H.,2,EQ
Bachelorette,1,01_BRIAN_H,Brian H.,2,D14
Bachelorette,1,01_BRIAN_K,Brian K.,1,E
Bachelorette,1,01_BRIAN_S,Brian S.,2,E
Bachelorette,1,01_BRIAN_S,Brian S.,2,D14
Bachelorette,1,01_BROOK_X,Brook,2,E
Bachelorette,1,01_BROOK_X,Brook,2,D14
Bachelorette,1,01_CHARLIE_M,Charlie Maher,6,E
Bachelorette,1,01_CHARLIE_M,Charlie Maher,2,D14
Bachelorette,1,01_CHARLIE_M,Charlie Maher,3,D1
Bachelorette,1,01_CHARLIE_M,Charlie Maher,4,D1
Bachelorette,1,01_CHARLIE_M,Charlie Maher,5,D1
Bachelorette,1,01_CHARLIE_M,Charlie Maher,6,D1
Bachelorette,1,01_CHRIS_X,Chris,1,E
Bachelorette,1,01_DUANE_X,Duane,1,E
Bachelorette,1,01_ERIC_X,Eric,1,E
Bachelorette,1,01_GREG_T,Greg T.,4,E
Bachelorette,1,01_GREG_T,Greg T.,2,D14
Bachelorette,1,01_GREG_T,Greg T.,3,D5
Bachelorette,1,01_GREG_T,Greg T.,4,D1
Bachelorette,1,01_GREGG_H,Gregg H.,1,E
Bachelorette,1,01_JACK_X,Jack,2,E
Bachelorette,1,01_JACK_X,Jack,2,D14
Bachelorette,1,01_JAMIE_B,Jamie Blyth,3,E
Bachelorette,1,01_JAMIE_B,Jamie Blyth,2,D14
Bachelorette,1,01_JAMIE_B,Jamie Blyth,3,D5
Bachelorette,1,01_JEFF_X,Jeff,2,E
Bachelorette,1,01_JEFF_X,Jeff,2,D14
Bachelorette,1,01_JOSH_X,Josh,2,E
Bachelorette,1,01_JOSH_X,Josh,2,D14
Bachelorette,1,01_MATT_X,Matt,1,E
Bachelorette,1,01_MIKE_X,Mike,3,E
Bachelorette,1,01_MIKE_X,Mike,2,D14
Bachelorette,1,01_MIKE_X,Mike,3,D5
Bachelorette,1,01_PAUL_X,Paul,1,E
Bachelorette,1,01_PETER_X,Peter,1,E
Bachelorette,1,01_ROB_X,Rob,3,E
Bachelorette,1,01_ROB_X,Rob,2,D14
Bachelorette,1,01_ROB_X,Rob,3,D5
Bachelorette,1,01_RUSS_X,Russ,5,E
Bachelorette,1,01_RUSS_X,Russ,2,D14
Bachelorette,1,01_RUSS_X,Russ,3,D1
Bachelorette,1,01_RUSS_X,Russ,4,D1
Bachelorette,1,01_RUSS_X,Russ,5,D1
Bachelorette,1,01_RYAN_S,Ryan Sutter,6,W
Bachelorette,1,01_RYAN_S,Ryan Sutter,2,D14
Bachelorette,1,01_RYAN_S,Ryan Sutter,3,D1
Bachelorette,1,01_RYAN_S,Ryan Sutter,4,D1
Bachelorette,1,01_RYAN_S,Ryan Sutter,5,D1
Bachelorette,1,01_RYAN_S,Ryan Sutter,6,D1
Bachelorette,1,01_WAYNE_X,Wayne,1,E
Bachelor,2,02_AMBER_X,Amber,1,E
Bachelor,2,02_ANGELA_X,Angela,5,E
Bachelor,2,02_ANGELA_X,Angela,2,D5
Bachelor,2,02_ANGELA_X,Angela,3,D5
Bachelor,2,02_ANGELA_X,Angela,4,D3
Bachelor,2,02_ANGELA_X,Angela,5,D1
Bachelor,2,02_ANINDITA_X,Anindita,2,EQ
Bachelor,2,02_ANINDITA_X,Anindita,2,D5
Bachelor,2,02_BROOKE_S,Brooke Smith,7,E
Bachelor,2,02_BROOKE_S,Brooke Smith,2,D5
Bachelor,2,02_BROOKE_S,Brooke Smith,3,D1
Bachelor,2,02_BROOKE_S,Brooke Smith,4,D3
Bachelor,2,02_BROOKE_S,Brooke Smith,5,D1
Bachelor,2,02_BROOKE_S,Brooke Smith,6,D1
Bachelor,2,02_CAMILLE_X,Camille,1,E
Bachelor,2,02_CARI_X,Cari,1,E
Bachelor,2,02_CHRISTI_X,Christi Weible,3,E
Bachelor,2,02_CHRISTI_X,Christi Weible,2,D5
Bachelor,2,02_CHRISTI_X,Christi Weible,3,D5
Bachelor,2,02_CHRISTY_X,Christy,1,E
Bachelor,2,02_DANA_X,Dana,2,E
Bachelor,2,02_DANA_X,Dana,2,D5
Bachelor,2,02_ERIN_P,Erin (Pennsylvania),2,E
Bachelor,2,02_ERIN_P,Erin (Pennsylvania),2,D5
Bachelor,2,02_ERIN_T,Erin (Texas),1,E
Bachelor,2,02_FATIMA_X,Fatima,1,E
Bachelor,2,02_FRANCES_X,Frances,2,EQ
Bachelor,2,02_FRANCES_X,Frances,2,D5
Bachelor,2,02_GWEN_G,Gwen Gioia,6,E
Bachelor,2,02_GWEN_G,Gwen Gioia,2,D5
Bachelor,2,02_GWEN_G,Gwen Gioia,3,D3
Bachelor,2,02_GWEN_G,Gwen Gioia,4,D1
Bachelor,2,02_GWEN_G,Gwen Gioia,5,D1
Bachelor,2,02_GWEN_G,Gwen Gioia,6,D1
Bachelor,2,02_HAYLEY_X,Hayley,4,E
Bachelor,2,02_HAYLEY_X,Hayley,2,D5
Bachelor,2,02_HAYLEY_X,Hayley,3,D3
Bachelor,2,02_HAYLEY_X,Hayley,4,D3
Bachelor,2,02_HEATHER_C,Heather Cranford,4,E
Bachelor,2,02_HEATHER_C,Heather Cranford,2,D5
Bachelor,2,02_HEATHER_C,Heather Cranford,3,D5
Bachelor,2,02_HEATHER_C,Heather Cranford,4,D1
Bachelor,2,02_HEATHER_X,Heather,3,E
Bachelor,2,02_HEATHER_X,Heather,2,D5
Bachelor,2,02_HEATHER_X,Heather,3,D5
Bachelor,2,02_HELENE_E,Helene Eksterowicz,7,W
Bachelor,2,02_HELENE_E,Helene Eksterowicz,2,D5
Bachelor,2,02_HELENE_E,Helene Eksterowicz,3,D1
Bachelor,2,02_HELENE_E,Helene Eksterowicz,4,D1
Bachelor,2,02_HELENE_E,Helene Eksterowicz,5,D1
Bachelor,2,02_HELENE_E,Helene Eksterowicz,6,D1
Bachelor,2,02_HELENE_E,Helene Eksterowicz,7,D1
Bachelor,2,02_KYLA_X,Kyla,3,E
Bachelor,2,02_KYLA_X,Kyla,2,D5
Bachelor,2,02_KYLA_X,Kyla,3,D3
Bachelor,2,02_LIANGY_X,Liangy,1,E
Bachelor,2,02_LORI_X,Lori,1,E
Bachelor,2,02_MERILEE_X,Merrilee,1,E
Bachelor,2,02_SHANNON_X,Shannon,3,E
Bachelor,2,02_SHANNON_X,Shannon,2,D5
Bachelor,2,02_SHANNON_X,Shannon,3,D5
Bachelor,2,02_SUZANNE_X,Suzanne,2,E
Bachelor,2,02_SUZANNE_X,Suzanne,2,D5
Bachelor,2,02_SUZI_X,Suzi,1,E
Bachelorette,2,02_AARON_X,Aaron,1,E
Bachelorette,2,02_ANDY_C,Andy Chang,1,E
Bachelorette,2,02_ANSELM_C,Anselm Clinard,1,E
Bachelorette,2,02_BRAD_X,Brad,4,E
Bachelorette,2,02_BRAD_X,Brad,2,D7
Bachelorette,2,02_BRAD_X,Brad,3,D7
Bachelorette,2,02_BRAD_X,Brad,4,D4
Bachelorette,2,02_BRIAN_X,Brian,1,E
Bachelorette,2,02_CHAD_X,Chad,6,E
Bachelorette,2,02_CHAD_X,Chad,2,D7
Bachelorette,2,02_CHAD_X,Chad,3,D7
Bachelorette,2,02_CHAD_X,Chad,4,D1
Bachelorette,2,02_CHAD_X,Chad,5,D1
Bachelorette,2,02_CHAD_X,Chad,6,D1
Bachelorette,2,02_CHRIS_X,Chris,1,E
Bachelorette,2,02_CORY_H,Cory Higgins,1,E
Bachelorette,2,02_DAMON_X,Damon,2,E
Bachelorette,2,02_DAMON_X,Damon,2,D7
Bachelorette,2,02_ELIOT_X,Eliot,2,E
Bachelorette,2,02_ELIOT_X,Eliot,2,D7
Bachelorette,2,02_HAROLD_H,Harold Hersh,2,E
Bachelorette,2,02_HAROLD_H,Harold Hersh,2,D7
Bachelorette,2,02_IAN_M,Ian McKee,7,W
Bachelorette,2,02_IAN_M,Ian McKee,2,D7
Bachelorette,2,02_IAN_M,Ian McKee,3,D1
Bachelorette,2,02_IAN_M,Ian McKee,4,D4
Bachelorette,2,02_IAN_M,Ian McKee,5,D1
Bachelorette,2,02_IAN_M,Ian McKee,6,D1
Bachelorette,2,02_IAN_M,Ian McKee,7,D1
Bachelorette,2,02_JEFF_O,Jeff O'Quinn,1,E
Bachelorette,2,02_JUSTIN_X,Justin,1,E
Bachelorette,2,02_KEITH_X,Keith,1,E
Bachelorette,2,02_LANNY_X,Lanny,5,E
Bachelorette,2,02_LANNY_X,Lanny,2,D7
Bachelorette,2,02_LANNY_X,Lanny,3,D7
Bachelorette,2,02_LANNY_X,Lanny,4,D1
Bachelorette,2,02_LANNY_X,Lanny,5,D1
Bachelorette,2,02_MARCUS_X,Marcus,2,E
Bachelorette,2,02_MARCUS_X,Marcus,2,D7
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,7,E
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,2,D7
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,3,D7
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,4,D1
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,5,D1
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,6,D1
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,7,D1
Bachelorette,2,02_RICK_X,Rick,3,E
Bachelorette,2,02_RICK_X,Rick,2,D1
Bachelorette,2,02_RICK_X,Rick,3,D7
Bachelorette,2,02_ROBERT_X,Robert,2,E
Bachelorette,2,02_ROBERT_X,Robert,2,D7
Bachelorette,2,02_RYAN_M,Ryan M.,4,E
Bachelorette,2,02_RYAN_M,Ryan M.,2,D7
Bachelorette,2,02_RYAN_M,Ryan M.,3,D2
Bachelorette,2,02_RYAN_M,Ryan M.,4,D4
Bachelorette,2,02_RYAN_R,Ryan R.,3,E
Bachelorette,2,02_RYAN_R,Ryan R.,2,D7
Bachelorette,2,02_RYAN_R,Ryan R.,3,D7
Bachelorette,2,02_SEAN_X,Sean,4,E
Bachelorette,2,02_SEAN_X,Sean,2,D7
Bachelorette,2,02_SEAN_X,Sean,3,D7
Bachelorette,2,02_SEAN_X,Sean,4,D4
Bachelorette,2,02_TODD_X,Todd,3,E
Bachelorette,2,02_TODD_X,Todd,2,D7
Bachelorette,2,02_TODD_X,Todd,3,D2
Bachelorette,2,02_TREVER_X,Trever,1,E
Bachelor,3,03_AMBER_X,Amber,3,E
Bachelor,3,03_AMBER_X,Amber,2,D5
Bachelor,3,03_AMBER_X,Amber,3,D1
Bachelor,3,03_AMY_P,Amy P,2,E
Bachelor,3,03_AMY_P,Amy P,2,D5
Bachelor,3,03_AMY_G,Amy G,1,E
Bachelor,3,03_AMY_G,Amy G,2,D5
Bachelor,3,03_ANGELA_X,Angela,1,E
Bachelor,3,03_ANNE_MICHELLE_X,Anne-Michelle,4,E
Bachelor,3,03_ANNE_MICHELLE_X,Anne-Michelle,2,D5
Bachelor,3,03_ANNE_MICHELLE_X,Anne-Michelle,3,D3
Bachelor,3,03_ANNE_MICHELLE_X,Anne-Michelle,4,D1
Bachelor,3,03_AUDREE_X,Audree,3,E
Bachelor,3,03_AUDREE_X,Audree,2,D5
Bachelor,3,03_AUDREE_X,Audree,3,D5
Bachelor,3,03_BROOKE_X,Brooke,1,E
Bachelor,3,03_CHRISTINA_S,Christina S,2,EQ
Bachelor,3,03_CHRISTINA_S,Christina S,2,D5
Bachelor,3,03_COURTNEY_X,Courtney,1,E
Bachelor,3,03_CRISTINA_C,Cristina C,4,E
Bachelor,3,03_CRISTINA_C,Cristina C,5,E
Bachelor,3,03_CRISTINA_C,Cristina C,2,D5
Bachelor,3,03_CRISTINA_C,Cristina C,3,D3
Bachelor,3,03_CRISTINA_C,Cristina C,4,D3
Bachelor,3,03_CRISTINA_C,Cristina C,5,D1
Bachelor,3,03_ELIZABETH_X,Elizabeth,2,E
Bachelor,3,03_ELIZABETH_X,Elizabeth,2,D5
Bachelor,3,03_GINNY_X,Ginny,1,E
Bachelor,3,03_HEATHER_X,Heather,3,E
Bachelor,3,03_HEATHER_X,Heather,2,D5
Bachelor,3,03_HEATHER_X,Heather,3,D5
Bachelor,3,03_JEN_S,Jen Schefft,7,W
Bachelor,3,03_JEN_S,Jen Schefft,2,D5
Bachelor,3,03_JEN_S,Jen Schefft,3,D5
Bachelor,3,03_JEN_S,Jen Schefft,4,D1
Bachelor,3,03_JEN_S,Jen Schefft,5,D1
Bachelor,3,03_JEN_S,Jen Schefft,6,D1
Bachelor,3,03_JEN_S,Jen Schefft,7,D1
Bachelor,3,03_JENNIFER_B,Jennifer B,1,E
Bachelor,3,03_KERRI_X,Kerri,1,E
Bachelor,3,03_KIRSTEN_X,Kirsten,7,E
Bachelor,3,03_KIRSTEN_X,Kirsten,2,D5
Bachelor,3,03_KIRSTEN_X,Kirsten,3,D1
Bachelor,3,03_KIRSTEN_X,Kirsten,4,D1
Bachelor,3,03_KIRSTEN_X,Kirsten,5,D1
Bachelor,3,03_KIRSTEN_X,Kirsten,6,D1
Bachelor,3,03_KIRSTEN_X,Kirsten,7,D1
Bachelor,3,03_KRISTEN_X,Kristen,1,E
Bachelor,3,03_LIZ_X,Liz,4,E
Bachelor,3,03_LIZ_X,Liz,2,D5
Bachelor,3,03_LIZ_X,Liz,3,D3
Bachelor,3,03_LIZ_X,Liz,4,D3
Bachelor,3,03_RACHEL_X,Rachel,2,E
Bachelor,3,03_RACHEL_X,Rachel,2,D5
Bachelor,3,03_SHANNON_X,Shannon,2,E
Bachelor,3,03_SHANNON_X,Shannon,2,D5
Bachelor,3,03_STEPHANIE_X,Stephanie,1,E
Bachelor,3,03_TIFFANY_X,Tiffany,1,E
Bachelor,3,03_TINA_P,Tina P,6,E
Bachelor,3,03_TINA_P,Tina P,2,D5
Bachelor,3,03_TINA_P,Tina P,3,D5
Bachelor,3,03_TINA_P,Tina P,4,D3
Bachelor,3,03_TINA_P,Tina P,5,D1
Bachelor,3,03_TINA_P,Tina P,6,D1
Bachelor,3,03_TINA_S,Tina S,3,E
Bachelor,3,03_TINA_S,Tina S,2,D5
Bachelor,3,03_TINA_S,Tina S,3,D5
Bachelorette,3,03_A.W.,A.W.,2,E
Bachelorette,3,03_A.W.,A.W.,2,D7
Bachelorette,3,03_ANDREW,Andrew,1,E
Bachelorette,3,03_ANDY_L,Andy LeRoy,1,E
Bachelorette,3,03_BEN_S,Ben S.,4,E
Bachelorette,3,03_BEN_S,Ben S.,2,D7
Bachelorette,3,03_BEN_S,Ben S.,3,D6
Bachelorette,3,03_BEN_S,Ben S.,4,D4
Bachelorette,3,03_CHRIS_C,Chris C.,1,E
Bachelorette,3,03_CHRIS_M,Chris M.,1,E
Bachelorette,3,03_COLLIN_E,Collin E.,1,E
Bachelorette,3,03_DAVID_V,David V.,1,E
Bachelorette,3,03_ERIC_H,Eric H.,1,E
Bachelorette,3,03_ERIC_T,Eric T.,1,E
Bachelorette,3,03_FABRICE_L,Fabrice L.,4,EQ
Bachelorette,3,03_FABRICE_L,Fabrice L.,2,D7
Bachelorette,3,03_FABRICE_L,Fabrice L.,3,D1
Bachelorette,3,03_FABRICE_L,Fabrice L.,4,D4
Bachelorette,3,03_JASON_I,Jason I.,2,E
Bachelorette,3,03_JASON_I,Jason I.,2,D7
Bachelorette,3,03_JERRY_F,Jerry F.,8,W
Bachelorette,3,03_JERRY_F,Jerry F.,2,D7
Bachelorette,3,03_JERRY_F,Jerry F.,3,D6
Bachelorette,3,03_JERRY_F,Jerry F.,4,D1
Bachelorette,3,03_JERRY_F,Jerry F.,5,D1
Bachelorette,3,03_JERRY_F,Jerry F.,6,D1
Bachelorette,3,03_JERRY_F,Jerry F.,7,D1
Bachelorette,3,03_JOHN PAUL_M,John Paul,7,E
Bachelorette,3,03_JOHN PAUL_M,John Paul,2,D7
Bachelorette,3,03_JOHN PAUL_M,John Paul,3,D1
Bachelorette,3,03_JOHN PAUL_M,John Paul,4,D4
Bachelorette,3,03_JOHN PAUL_M,John Paul,5,D1
Bachelorette,3,03_JOHN PAUL_M,John Paul,6,D1
Bachelorette,3,03_JOHN PAUL_M,John Paul,7,D1
Bachelorette,3,03_JOSH_C,Josh Cox,3,E
Bachelorette,3,03_JOSH_C,Josh Cox,2,D7
Bachelorette,3,03_JOSH_C,Josh Cox,3,D6
Bachelorette,3,03_KEITH,Keith,1,R1
Bachelorette,3,03_KEITH,Keith,3,E
Bachelorette,3,03_KEITH,Keith,2,D1
Bachelorette,3,03_KEITH,Keith,3,D6
Bachelorette,3,03_KEVIN,Kevin,1,E
Bachelorette,3,03_MARK,Mark,2,E
Bachelorette,3,03_MARK,Mark,2,D7
Bachelorette,3,03_MATT_L,Matt L.,1,E
Bachelorette,3,03_MATT_M,Matt M.,2,E
Bachelorette,3,03_MATT_M,Matt M.,2,D7
Bachelorette,3,03_MICHAEL_F,Michael Foster,2,E
Bachelorette,3,03_MICHAEL_F,Michael Foster,2,D7
Bachelorette,3,03_RYAN_SH,Ryan Sh.,6,E
Bachelorette,3,03_RYAN_SH,Ryan Sh.,2,D7
Bachelorette,3,03_RYAN_SH,Ryan Sh.,3,D6
Bachelorette,3,03_RYAN_SH,Ryan Sh.,4,D1
Bachelorette,3,03_RYAN_SH,Ryan Sh.,5,D1
Bachelorette,3,03_RYAN_SH,Ryan Sh.,6,D1
Bachelorette,3,03_RYAN_SM,Ryan Sm.,2,E
Bachelorette,3,03_RYAN_SM,Ryan Sm.,2,D7
Bachelorette,3,03_STU_L,Stu L.,2,E
Bachelorette,3,03_STU_L,Stu L.,2,D7
Bachelorette,3,03_WENDELL_J,Wendell J.,5,E
Bachelorette,3,03_WENDELL_J,Wendell J.,2,D7
Bachelorette,3,03_WENDELL_J,Wendell J.,3,D6
Bachelorette,3,03_WENDELL_J,Wendell J.,4,D4
Bachelorette,3,03_WENDELL_J,Wendell J.,5,D1
Bachelor,4,04_ANTOINETTE,Antoinette,3,E
Bachelor,4,04_ANTOINETTE,Antoinette,2,D6
Bachelor,4,04_ANTOINETTE,Antoinette,3,D5
Bachelor,4,04_BROOKE,Brooke,4,E
Bachelor,4,04_BROOKE,Brooke,2,D4
Bachelor,4,04_BROOKE,Brooke,3,D5
Bachelor,4,04_BROOKE,Brooke,4,D3
Bachelor,4,04_CHRISTINE,Christine,2,E
Bachelor,4,04_CHRISTINE,Christine,2,D5
Bachelor,4,04_DARLA,Darla,1,E
Bachelor,4,04_ESTELLA,Estella,7,W
Bachelor,4,04_ESTELLA,Estella,2,D5
Bachelor,4,04_ESTELLA,Estella,3,D5
Bachelor,4,04_ESTELLA,Estella,4,D1
Bachelor,4,04_ESTELLA,Estella,5,D1
Bachelor,4,04_ESTELLA,Estella,6,D1
Bachelor,4,04_ESTELLA,Estella,7,D1
Bachelor,4,04_HEATHER,Heather,1,E
Bachelor,4,04_JENN,Jenn,2,E
Bachelor,4,04_JENN,Jenn,2,D5
Bachelor,4,04_JENNY,Jenny,3,E
Bachelor,4,04_JENNY,Jenny,2,D6
Bachelor,4,04_JENNY,Jenny,3,D5
Bachelor,4,04_JULIE,Julie,1,E
Bachelor,4,04_KARIN,Karin,3,E
Bachelor,4,04_KARIN,Karin,2,D4
Bachelor,4,04_KARIN,Karin,3,D5
Bachelor,4,04_KELLY-JO,Kelly Jo,7,E
Bachelor,4,04_KELLY-JO,Kelly Jo,2,D4
Bachelor,4,04_KELLY-JO,Kelly Jo,3,D3
Bachelor,4,04_KELLY-JO,Kelly Jo,4,D1
Bachelor,4,04_KELLY-JO,Kelly Jo,5,D1
Bachelor,4,04_KELLY-JO,Kelly Jo,6,D1
Bachelor,4,04_KELLY-JO,Kelly Jo,7,D1
Bachelor,4,04_KRISTI,Kristi,1,E
Bachelor,4,04_LANAH,Lanah,2,E
Bachelor,4,04_LANAH,Lanah,2,D6
Bachelor,4,04_LAUREN,Lauren,1,E
Bachelor,4,04_LEE-ANN,Lee-Ann,4,E
Bachelor,4,04_LEE-ANN,Lee-Ann,2,D6
Bachelor,4,04_LEE-ANN,Lee-Ann,3,D1
Bachelor,4,04_LEE-ANN,Lee-Ann,4,D3
Bachelor,4,04_LEONA,Leona,1,E
Bachelor,4,04_LINDSAY,Lindsay,2,E
Bachelor,4,04_LINDSAY,Lindsay,2,D6
Bachelor,4,04_LINDSAY_CLIPPERS,Lindsay,2,ED
Bachelor,4,04_LINDSAY_CLIPPERS,Lindsay,2,D5
Bachelor,4,04_MARY,Mary,6,E
Bachelor,4,04_MARY,Mary,2,D6
Bachelor,4,04_MARY,Mary,3,D3
Bachelor,4,04_MARY,Mary,4,D1
Bachelor,4,04_MARY,Mary,5,D1
Bachelor,4,04_MARY,Mary,6,D1
Bachelor,4,04_MEREDITH,Meredith,5,E
Bachelor,4,04_MEREDITH,Meredith,2,D4
Bachelor,4,04_MEREDITH,Meredith,3,D1
Bachelor,4,04_MEREDITH,Meredith,4,D3
Bachelor,4,04_MEREDITH,Meredith,5,D1
Bachelor,4,04_MISTY,Misty,3,E
Bachelor,4,04_MISTY,Misty,2,D5
Bachelor,4,04_MISTY,Misty,3,D3
Bachelor,4,04_SAMENTHA,Samantha,1,E
Bachelor,4,04_SHEA,Shea,1,E
Bachelor,4,04_SHELLY,Shelly,1,E
Bachelor,4,04_STACEY,Stacey,1,E
Bachelorette,4,04_BLAINE_T,Blaine Twilley,5,E
Bachelorette,4,04_BLAINE_T,Blaine Twilley,2,D7
Bachelorette,4,04_BLAINE_T,Blaine Twilley,3,D10
Bachelorette,4,04_BLAINE_T,Blaine Twilley,4,D6
Bachelorette,4,04_BLAINE_T,Blaine Twilley,5,D4
Bachelorette,4,04_BRIAN_T,Brian Westendorf,4,E
Bachelorette,4,04_BRIAN_T,Brian Westendorf,2,D7
Bachelorette,4,04_BRIAN_T,Brian Westendorf,3,D10
Bachelorette,4,04_BRIAN_T,Brian Westendorf,4,D6
Bachelorette,4,04_BRIAN_W,Brian Winchester,1,E
Bachelorette,4,04_CHANDLER_F,Chandler Fulton,1,E
Bachelorette,4,04_CHRISTOPHER_B,"Christopher ""Chris"" Bradshaw",2,E
Bachelorette,4,04_CHRISTOPHER_B,"Christopher ""Chris"" Bradshaw",2,D7
Bachelorette,4,04_DONATO_C,Donato Capodanno,1,E
Bachelorette,4,04_ERIC_P,Eric Papachristos,2,E
Bachelorette,4,04_ERIC_P,Eric Papachristos,2,D7
Bachelorette,4,04_FREDERICK_G,"Frederick ""Fred"" Greif",3,R
Bachelorette,4,04_FREDERICK_G,"Frederick ""Fred"" Greif",4,ED
Bachelorette,4,04_FREDERICK_G,"Frederick ""Fred"" Greif",2,D7
Bachelorette,4,04_FREDERICK_G,"Frederick ""Fred"" Greif",3,D10
Bachelorette,4,04_FREDERICK_G,"Frederick ""Fred"" Greif",4,D2
Bachelorette,4,04_GRAHAM_B,Graham Bunn,2,R
Bachelorette,4,04_GRAHAM_B,Graham Bunn,6,E
Bachelorette,4,04_GRAHAM_B,Graham Bunn,2,D1
Bachelorette,4,04_GRAHAM_B,Graham Bunn,3,D10
Bachelorette,4,04_GRAHAM_B,Graham Bunn,4,D6
Bachelorette,4,04_GRAHAM_B,Graham Bunn,5,D4
Bachelorette,4,04_GRAHAM_B,Graham Bunn,6,D1
Bachelorette,4,04_GREGORY_M,"Gregory ""Greg"" Matthew",1,E
Bachelorette,4,04_JASON_M,Jason Mesnick,3,R
Bachelorette,4,04_JASON_M,Jason Mesnick,8,E
Bachelorette,4,04_JASON_M,Jason Mesnick,2,D7
Bachelorette,4,04_JASON_M,Jason Mesnick,3,D1
Bachelorette,4,04_JASON_M,Jason Mesnick,4,D6
Bachelorette,4,04_JASON_M,Jason Mesnick,5,D4
Bachelorette,4,04_JASON_M,Jason Mesnick,6,D1
Bachelorette,4,04_JASON_M,Jason Mesnick,7,D1
Bachelorette,4,04_JASON_M,Jason Mesnick,8,D1
Bachelorette,4,04_JEFFREY_H,Jeffrey Harris,1,E
Bachelorette,4,04_JEREMY_A,Jeremy Anderson,1,R1
Bachelorette,4,04_JEREMY_A,Jeremy Anderson,2,R
Bachelorette,4,04_JEREMY_A,Jeremy Anderson,7,E
